,LocID,Location,PopTotal
74612,2065,ESCWA: Gulf Cooperation Council countries,58664.095
74763,2063,ESCWA: Maghreb countries,99451.506
74914,2064,ESCWA: Mashreq countries,182187.561
75065,1765,ESCWA: member countries,374777.016
75216,1563,East African Community (EAC),195283.232
75367,910,Eastern Africa,445405.578
76251,906,Eastern Asia,1678089.627
77135,923,Eastern Europe,293013.21
78019,1825,Eastern European Group,339831.453
78170,1832,Eastern and South-Eastern Asia,2346709.481
79054,1538,Economic Community of Central African States (ECCAS),204438.115
79205,1540,Economic Community of West African States (ECOWAS),397205.524
79356,1547,Economic Cooperation Organization (ECO),512630.793
79507,218,Ecuador,17643.06
80391,818,Egypt,102334.403
81275,222,El Salvador,6486.201
82159,226,Equatorial Guinea,1402.985
83043,232,Eritrea,3546.427
83927,233,Estonia,1326.539
84811,748,Eswatini,1160.164
85695,231,Ethiopia,114963.583
86579,1546,Eurasian Economic Community (Eurasec),223691.52
86800,917,Europe,747636.045
86801,908,Europe,747636.045
88498,1506,Europe (48),747636.045
88649,1829,Europe and Northern America,1116505.689
89533,1550,European Community (EC: 12),384860.299
89684,1544,European Free Trade Agreement (EFTA),14455.247
89835,1549,European Union (EU: 15),409506.687
89986,986,European Union (EU: 28),513136.526
90137,238,Falkland Islands (Malvinas),3.483
91021,234,Faroe Islands,48.865
91905,242,Fiji,896.444
92789,246,Finland,5540.718
93673,250,France,65273.512
94557,1107,France (and dependencies),68147.687
94708,254,French Guiana,298.682
95592,258,French Polynesia,280.904
96476,266,Gabon,2225.728
97360,270,Gambia,2416.664
98244,268,Georgia,3989.175
99128,276,Germany,83783.945
100012,288,Ghana,31072.945
100896,292,Gibraltar,33.691
101780,1536,Greater Arab Free Trade Area (GAFTA),413978.399
101931,300,Greece,10423.056
102815,304,Greenland,56.772
103699,308,Grenada,112.519
104583,1556,Group of 77 (G77),6135279.467
104734,1523,Group of Eight (G8),918561.011
104885,1522,Group of Seven (G7),772626.551
105036,1524,Group of Twenty (G20) - member states,4653331.418
105187,312,Guadeloupe,400.127
106071,316,Guam,168.783
106955,320,Guatemala,17915.567
107839,324,Guinea,13132.792
108723,624,Guinea-Bissau,1967.998
109607,1561,Gulf Cooperation Council (GCC),58664.095
109758,328,Guyana,786.559
110642,332,Haiti,11402.533
111526,1503,High-income countries,1263092.934
112410,336,Holy See,0.809
113294,340,Honduras,9904.608
114178,348,Hungary,9660.35
115062,352,Iceland,341.25
115946,356,India,1380004.385
116830,360,Indonesia,273523.621
117714,364,Iran (Islamic Republic of),83992.953
118598,368,Iraq,40222.503
119482,372,Ireland,4937.796
120366,833,Isle of Man,85.032
121250,376,Israel,8655.541
122134,380,Italy,60461.828
123018,388,Jamaica,2961.161
123902,392,Japan,126476.458
124786,400,Jordan,10203.14
125670,398,Kazakhstan,18776.707
126554,404,Kenya,53771.3
127438,296,Kiribati,119.446
128322,414,Kuwait,4270.563
129206,417,Kyrgyzstan,6524.191
130090,2087,LLDC: Africa,341388.552
130241,2088,LLDC: Asia,166831.944
130392,2089,LLDC: Europe,6117.343
130543,2090,LLDC: Latin America,18805.559
130694,1607,Land-locked Countries,595596.207
130845,1674,Land-locked Countries (Others),62452.809
130996,1636,Land-locked Developing Countries (LLDC),533143.398
131880,418,Lao People's Democratic Republic,7275.556
132834,904,Latin America and the Caribbean,653962.332
132835,1830,Latin America and the Caribbean,653962.332
134532,1532,Latin American Integration Association (ALADI),573658.551
134683,1826,Latin American and Caribbean Group (GRULAC),649376.323
134834,428,Latvia,1886.202
135718,1559,"League of Arab States (LAS, informal name: Arab League)",436378.875
135869,941,Least developed countries,1057438.163
136753,1475,Least developed: Africa,701835.489
136904,1476,Least developed: Asia,343074.875
137055,1477,Least developed: Latin America and the Caribbean,11402.533
137206,1478,Least developed: Oceania,1125.266
137357,422,Lebanon,6825.442
138241,426,Lesotho,2142.252
139125,902,Less developed regions,6521494.468
140009,948,"Less developed regions, excluding China",5050207.589
140893,934,"Less developed regions, excluding least developed countries",5464056.305
141777,1479,Less developed: Africa,1340598.113
141928,1480,Less developed: Asia,4514578.328
142079,1481,Less developed: Latin America and the Caribbean,653962.332
142230,1482,Less developed: Oceania,12355.695
142381,430,Liberia,5057.677
143265,434,Libya,6871.287
144149,438,Liechtenstein,38.137
145033,440,Lithuania,2722.291
145917,1500,Low-income countries,775710.612
146801,1501,Lower-middle-income countries,3098235.284
147685,442,Luxembourg,625.976
148569,450,Madagascar,27691.019
149453,454,Malawi,19129.955
150337,458,Malaysia,32365.998
151221,462,Maldives,540.542
152105,466,Mali,20250.834
152989,470,Malta,441.539
153873,584,Marshall Islands,59.194
154757,474,Martinique,375.265
155641,478,Mauritania,4649.66
156525,480,Mauritius,1271.767
157409,175,Mayotte,272.813
158293,928,Melanesia,11122.99
159177,484,Mexico,128932.753
160061,954,Micronesia,548.927
160945,583,Micronesia (Fed. States of),115.021
161829,911,Middle Africa,179595.125
162713,1517,Middle-income countries,5753051.615
163597,492,Monaco,39.244
164481,496,Mongolia,3278.292
165365,499,Montenegro,628.062
166249,500,Montserrat,4.999
167133,901,More developed regions,1273304.261
168017,1483,More developed: Asia,126476.458
168168,1484,More developed: Europe,747636.045
168319,1485,More developed: Northern America,368869.644
168470,1486,More developed: Oceania,30322.114
168621,504,Morocco,36910.558
169505,508,Mozambique,31255.435
170389,104,Myanmar,54409.794
171273,516,Namibia,2540.916
172157,520,Nauru,10.834
173041,524,Nepal,29136.808
173925,528,Netherlands,17134.873
174809,1108,Netherlands (and dependencies),17474.842
174960,540,New Caledonia,285.491
175844,1552,New EU member states (joined since 2004),103629.839
175995,554,New Zealand,4822.233
176879,1109,New Zealand (and dependencies),4842.765
177030,558,Nicaragua,6624.554
177914,562,Niger,24206.636
178798,566,Nigeria,206139.587
179682,570,Niue,1.618
180566,1518,No income group available,2943.568
181450,1615,Non-Self-Governing Territories,1753.672
181601,1520,North American Free Trade Agreement (NAFTA),497677.557
181752,1555,North Atlantic Treaty Organization (NATO),944255.667
181903,807,North Macedonia,2083.38
182787,912,Northern Africa,246232.508
183671,1833,Northern Africa and Western Asia,525869.282
184625,918,Northern America,368869.644
184626,905,Northern America,368869.644
186323,924,Northern Europe,106261.271
187207,580,Northern Mariana Islands,57.557
188091,578,Norway,5421.242
188975,909,Oceania,42677.809
189859,1835,Oceania (excluding Australia and New Zealand),12355.695
190743,512,Oman,5106.622
191627,1505,Organisation for Economic Co-operation and Development (OECD),1313469.47
191778,2086,Organization for Security and Co-operation in Europe (OSCE),1296294.632
191929,2085,Organization of American States (OAS),1018121.127
192080,1521,Organization of Petroleum Exporting countries (OPEC),518144.279
192231,1570,Organization of the Islamic Conference (OIC),1907530.488
192382,586,Pakistan,220892.331
193266,585,Palau,18.092
194150,591,Panama,4314.768
195034,598,Papua New Guinea,8947.027
195918,600,Paraguay,7132.53
196802,604,Peru,32971.846
197686,608,Philippines,109581.085
198570,616,Poland,37846.605
199454,957,Polynesia,683.778
200338,620,Portugal,10196.707
201222,630,Puerto Rico,2860.84
202106,634,Qatar,2881.06
202990,410,Republic of Korea,51269.183
203874,498,Republic of Moldova,4033.963
204758,642,Romania,19237.682
205642,643,Russian Federation,145934.46
206526,646,Rwanda,12952.209
207410,638,Réunion,895.308
208294,2093,"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",16226.846
208445,2091,SIDS Caribbean,43506.153
208596,2092,SIDS Pacific,12343.099
208747,652,Saint Barthélemy,9.885
209631,654,Saint Helena,6.071
210515,659,Saint Kitts and Nevis,53.192
211399,662,Saint Lucia,183.629
212283,663,Saint Martin (French part),38.659
213167,666,Saint Pierre and Miquelon,5.795
214051,670,Saint Vincent and the Grenadines,110.947
214935,882,Samoa,198.41
215819,674,San Marino,33.938
216703,678,Sao Tome and Principe,219.161
217587,682,Saudi Arabia,34813.867
218471,686,Senegal,16743.93
0,0,Kosovo,1810.463
219355,688,Serbia,6963.764
220239,690,Seychelles,98.34
221123,2073,Shanghai Cooperation Organization (SCO),3254462.689
221274,694,Sierra Leone,7976.985
222158,702,Singapore,5850.343
223042,534,Sint Maarten (Dutch part),42.882
223926,703,Slovakia,5459.643
224810,705,Slovenia,2078.932
225694,1637,Small Island Developing States (SIDS),72076.098
226578,90,Solomon Islands,686.878
227462,706,Somalia,15893.219
228346,710,South Africa,59308.69
229230,931,South America,430759.772
230114,1321,South Asian Association for Regional Cooperation (SAARC),1856376.652
230265,728,South Sudan,11193.729
231149,920,South-Eastern Asia,668619.854
232033,913,Southern Africa,67503.647
232917,1564,Southern African Development Community (SADC),363228.526
233068,5501,Southern Asia,1940369.605
233952,1534,Southern Common Market (MERCOSUR),308470.415
234103,925,Southern Europe,152215.243
234987,724,Spain,46754.783
235871,144,Sri Lanka,21413.25
236755,275,State of Palestine,5101.416
237639,947,Sub-Saharan Africa,1094365.605
238523,729,Sudan,43849.269
239407,740,Suriname,586.634
240291,752,Sweden,10099.27
241175,756,Switzerland,8654.618
242059,760,Syrian Arab Republic,17500.657
242943,762,Tajikistan,9537.642
243827,764,Thailand,69799.978
244711,626,Timor-Leste,1318.442
245595,768,Togo,8278.737
246479,772,Tokelau,1.35
247363,776,Tonga,105.697
248247,780,Trinidad and Tobago,1399.491
249131,788,Tunisia,11818.618
250015,792,Turkey,84339.067
250899,795,Turkmenistan,6031.187
251783,796,Turks and Caicos Islands,38.718
252667,798,Tuvalu,11.792
253551,1735,UN-ECE: member countries,1301671.072
253702,1819,UNFPA Regions,6435966.035
253853,1611,UNFPA: Arab States (AS),377302.147
254004,1610,UNFPA: Asia and the Pacific (AP),4082579.031
254155,1703,UNFPA: East and Southern Africa (ESA),617189.215
254306,1612,UNFPA: Eastern Europe and Central Asia (EECA),249965.985
254457,1613,UNFPA: Latin America and the Caribbean (LAC),649907.02
254608,1704,UNFPA: West and Central Africa (WCA),459022.637
254759,1818,UNICEF PROGRAMME REGIONS,6518336.209
254910,1586,UNICEF Programme Regions: East Asia and Pacific (EAPRO),2142209.426
255061,2042,UNICEF Programme Regions: Eastern Caribbean,2406.024
255212,1587,UNICEF Programme Regions: Eastern and Southern Africa (ESARO),542249.263
255363,1585,UNICEF Programme Regions: Europe and Central Asia (CEECIS),280885.442
255514,2041,UNICEF Programme Regions: Latin America,646666.007
255665,1589,UNICEF Programme Regions: Latin America and Caribbean (LACRO),649072.031
255816,1590,UNICEF Programme Regions: Middle East and North Africa (MENARO),498959.354
255967,1591,UNICEF Programme Regions: South Asia (ROSA),1856376.652
256118,1592,UNICEF Programme Regions: West and Central Africa (WCARO),548584.041
256269,2035,UNICEF REGIONS,7794798.729
